asin,title,description,image_url,amazon_price_usd,stock,is_prime
B08T8L371P,Glow Recipe Watermelon Niacinamide Drops,"Glow Recipe Watermelon Niacinamide Dew Drops, Korean Niacinamide Serum Drops, Hydrating Face Serum + Primer & Liquid Highlighter, Hyaluronic Acid, Dewy Glow (40ml)",https://m.media-amazon.com/images/I/51h-PS9qIIL._SX466_.jpg,36.01,10,true
B0DHRQXYCH,E.l.f. Hydration Complexion Hyaluronic Cruelty Free,"e.l.f. SKIN Holy Hydration! Thirst Burst Drops, Serum For A Radiant Complexion Instantly & Over Time, Made With Hyaluronic Acid, Vegan & Cruelty-Free",https://m.media-amazon.com/images/I/71iJG5cgmuL._SX466_.jpg,12.96,10,true
B08L8B5JR2,Vibriance Formula Hydrates Targets Wrinkles,"Vibriance Super C Serum for Mature Skin - All-in-One Vitamin Formula Hydrates, Firms, Lifts, Smooths, Targets Age Spots, Wrinkles, 1 fl oz",https://m.media-amazon.com/images/I/71JbETCeypL._SX466_.jpg,47.00,10,true
B0009ET6CA,DERMA Hydrating Serum Hyaluronic Acid,"DERMA E Ultra Hydrating Dewy Skin Serum - Moisturizing Facial Treatment with Anti-Aging Squalane, Hyaluronic Acid and Ceramides to Smooth and Replenish, 2 FL Oz",https://m.media-amazon.com/images/I/61hhS8QwxxL._SX466_.jpg,23.00,10,true
B0FT7YLV43,COSRX Collagen Intense Vitalizing Serum,"COSRX 5 PDRN Collagen Intense Vitalizing Serum - Korean Serum for Skin Firming & Glowing with Salmon DNA, Centella, Lactobacillus PDRN & Collagen, Korean Skin Care (3.38 fl.oz.)",https://m.media-amazon.com/images/I/61NyYFx3XJL._SX466_.jpg,25.00,10,true
B0B2QHS72Y,SEEN Shampoo Fragrance Free 8 6,"SEEN Shampoo, Fragrance Free - Non-Comedogenic Hair Shampoo- Dermatologist-Developed - Safe for Sensitive, Eczema & Acne Prone Skin",https://m.media-amazon.com/images/I/51XVUcgfakL._SX466_.jpg,32.00,10,true
B08SYKL11M,OUAI Medium Shampoo Conditioner Sulfates,"OUAI Medium Hair Shampoo and Conditioner Set - Sulfate-Free Shampoo and Conditioner for Women & Men - Made with Keratin, Shea Butter & Avocado Oil - Free of Parabens & Phthalates (10 Fl Oz)",https://m.media-amazon.com/images/I/51P8aVmhlcL._SX466_.jpg,64.00,10,true
B0B2QR7XPG,SEEN Shampoo 8 6 Fl Oz,SEEN Shampoo - Scented - Non-Comedogenic Hair Shampoo- Dermatologist-Developed - Safe for Sensitive & Acne Prone Skin,https://m.media-amazon.com/images/I/41iBASux9lL._SX466_.jpg,32.00,10,true
B084BW599K,OUAI Shampoo Strengthening Voluminous Phthalates,"OUAI Fine Hair Shampoo - Biotin Thickening Shampoo for Flat, Thin Hair - Volumizing & Strengthening Keratin & Chia Seed Oil for Women & Men - Lightweight, Color-Safe, Sulfate Free, 10 Oz",https://m.media-amazon.com/images/I/511SN3d82fL._SX466_.jpg,32.00,10,true
B0861WGB1K,Shapiro MD Hair Growth Experience,Shapiro MD Hair Growth Experts Vegan Hair Loss Shampoo for Thinning Hair Experience Healthier Fuller and Thicker Looking Hair (1 Month Supply),https://m.media-amazon.com/images/I/51liMudPmAL._SX466_.jpg,31.96,10,true
B0DHWH8TJX,Pantene Sheer Fullness Shampoo 820,"Pantene Shampoo, Sheer Volume - 72-Hour Fullness, Lightweight Nourishment with Pro-Vitamin B5 + Antioxidants, Fine, Thin, Color-Treated Hair, Paraben Free, 27.7 Fl Oz",https://m.media-amazon.com/images/I/61b3QCkyH-L._SX466_.jpg,9.97,10,true
B09GV3RGW2,Pantene Conditioner Treatment Moisture Color Treated,"Pantene Shampoo & Conditioner Set, Daily Moisture Renewal - Pro-V Nutrients for Dry, Color-Treated, Straight to Curly Hair, 72-Hour Hydration & Softness, 52.8 Oz Total",https://m.media-amazon.com/images/I/71FWuSE1cuL._SX466_.jpg,21.40,10,true
B0DK5SQRM8,Dove Shampoo Intensive Bio Protein Technology,Dove Shampoo Intensive Repair for Damaged Hair with Bio-Protein Care Technology and Amino Serum 28 Fl Oz,https://m.media-amazon.com/images/I/71RmlkRx54L._SX466_.jpg,7.96,10,true
B0BBBSMV94,Native Conditioner Naturally Ingredients Moisturizing,"Native Coconut & Vanilla Shampoo and Conditioner - All Hair Types, Color & Treated, Fine to Dry Damaged, Sulfate & Dye Free - 2-Pack",https://m.media-amazon.com/images/I/71jyiuNOmKL._SX466_.jpg,19.94,10,true
B07D37PQGL,Olaplex No 4 Bond Maintenance Shampoo,"Olaplex No.4 Bond Maintenance Hair Strengthening Shampoo: Repairs Damage & Defend Against Future Breakage Replenishes Hydration For Coily, Curly, Straight, and Wavy",https://m.media-amazon.com/images/I/71Ewhhl+tJL._SX522_.jpg,34.00,10,true
B084BTP393,OUAI Hydrating Nourishes Strengthens Phthalates,"OUAI Medium Hair Shampoo - Hydrating Shampoo for Color Treated Hair & Dry Scalp - Coconut Oil, Babassu, Keratin - Sulfate Free, 10 Oz",https://m.media-amazon.com/images/I/512pAEVrgIL._SX466_.jpg,32.00,10,true
B084C2PC69,OUAI Shampoo Clarifying Refreshed Phthalates,"OUAI Detox Shampoo - Clarifying Shampoo for Build Up, Dirt, Oil and Hard Water - Apple Cider Vinegar & Keratin for Clean, Refreshed Hair - Sulfate-Free (10 oz)",https://m.media-amazon.com/images/I/71dq5ltYhIL._SX466_.jpg,34.00,10,true
B0B96LXQ49,Head Shoulders Dandruff Anti Dandruff Treatment,"Head & Shoulders Anti-Dandruff Shampoo with 1% Pyrithione Zinc, Classic Clean, Fresh Scent, Daily Use, Color-Safe, 28.2 Fl Oz",https://m.media-amazon.com/images/I/71aQmV95ysL._SX466_.jpg,12.47,10,true
B084ZWKJ8S,Ouai Fine Shampoo 10 Conditioner,"OUAI Fine Shampoo and Conditioner Set - Sulfate Free - Made with Keratin, Marshmallow Root, Shea Butter & Avocado Oil - Free of Parabens & Phthalates (10 Fl Oz)",https://m.media-amazon.com/images/I/51JfDGJYNvL._SX466_.jpg,64.00,10,true
B084C5QQ7N,OUAI Shampoo Hydrating Nourishes Strengthens,"OUAI Medium Hair Shampoo - Hydrating Shampoo for Color Treated Hair & Dry Scalp - Coconut Oil, Babassu, Keratin - Sulfate Free, Refill 32 Oz",https://m.media-amazon.com/images/I/51jf6ZF4KFL._SX466_.jpg,64.00,10,true
B07LCH8QZ8,Aussie Miracle Shampoo Without Avocado,"Aussie Miracle Moist Shampoo: Hydrating & Gentle Cleansing Treatment with Avocado & Jojoba Oil, 26.2 Fl Oz",https://m.media-amazon.com/images/I/71q22MY+12L._SX466_.jpg,7.97,10,true
B0GLRXGHH8,Herbal Essences Shampoo Passionfruit Dermatologist Tested,"Herbal Essences Shampoo, Rose Hips + Passionfruit - Smooth Collection, Shiny Hair with Vitamin E & Jojoba, Safe for Color Treated Hair, 29.2 Fl Oz",https://m.media-amazon.com/images/I/71IGe-crhtL._SX466_.jpg,11.99,10,true
B0FWVR26QW,Cerave Hydrating Ceramides Niacinamide Hyaluronic,"CeraVe Gentle Hydrating Shampoo, With Ceramides, Niacinamide & Hyaluronic Acid For Soft Hair & Scalp, Sulfate Free & Color Safe, For All Hair Types, 19 Oz",https://m.media-amazon.com/images/I/61pQlxbDtbL._SX466_.jpg,12.97,10,true
B086S4Q7JH,Herbal Essences Shampoo Conditioner Rose,"Herbal Essences Shampoo & Conditioner Set, Rose Hips - Smooth Collection, Paraben-Free, Color-Safe, with Jojoba & Vitamin E, 29.2 Fl Oz Each, 2-Pack",https://m.media-amazon.com/images/I/81sRDKOiP5L._SX466_.jpg,20.92,10,true
B0F8JJPFZG,OUAI Medium Shampoo Conditioner Travel,"OUAI Medium Hair Shampoo & Conditioner Set, Travel Size - With Coconut Oil, Babassu, Kumquat Extract & Keratin - Sulfate, Paraben & Phthalate Free (3 Oz)",https://m.media-amazon.com/images/I/5117kootdEL._SX466_.jpg,28.00,10,true
B0FBLD9P6N,Lanfredi Strengthening Volumizing Supports Lightweight,"Fortify Shampoo for Fine to Medium Hair, Strengthening Volumizing Formula, Supports Growth, Adds Shine, Repairs, Lightweight Daily Hair Cleanser",https://m.media-amazon.com/images/I/51W-LPeh3rL._SX466_.jpg,30.95,10,true
B084C4FLG1,OUAI Shampoo Strengthening Keratin Voluminous,"OUAI Fine Hair Shampoo - Biotin Thickening Shampoo for Flat, Thin Hair - Volumizing & Strengthening Keratin & Chia Seed Oil - Sulfate Free, Refill 32 Oz",https://m.media-amazon.com/images/I/51LDgPnh4QL._SX466_.jpg,64.00,10,true
B0CHK1CKJ2,Native Shampoo Conditioner Naturally Ingredients,"Native Shampoo and Conditioner - All Hair Type Color & Treated, Fine to Dry Damaged, Sulfate & Dye Free - Almond & Shea Butter, 16.5 fl oz each (2 pack)",https://m.media-amazon.com/images/I/71R1Rhdj4AL._SX466_.jpg,17.59,10,true
B07QC43BXB,Loreal Paris Conditioner Color Treated Moisturizes,"L'Oreal Paris Moisture Sulfate Free Shampoo and Conditioner Set, Hair Care for Color-Treated Hair with Rosemary Botanicals, EverPure, 1 Kit",https://m.media-amazon.com/images/I/816UeZMogrL._SX466_.jpg,15.99,10,true
B0D4SBLLRJ,Olaplex Wash Shine Hair Kit,"Olaplex Wash and Shine Hair Kit: No.4, 5, 7, Shampoo & Conditioner Set Cleanse, Hydrate, & Control Frizz Up to 72 Hours Bonding Oil for Shine",https://m.media-amazon.com/images/I/61e2-jaRmtL._SX522_.jpg,68.00,10,true
B000MD65FO,Tea Tree Special Shampoo 33 8,"Tea Tree Special Shampoo, Deep Cleans, Refreshes Scalp, For All Hair Types, Especially Oily Hair",https://m.media-amazon.com/images/I/61EqSHrcgJL._SX522_.jpg,50.00,10,true
B0FWVCMG63,Cerave Balancing Clarifying Ceramides Hyaluronic,"CeraVe Oil Control Balancing Shampoo, Clarifying Shampoo With Ceramides & Hyaluronic Acid, For All Hair & Scalp Types, Sulfate Free & Color Safe, 12 oz",https://m.media-amazon.com/images/I/61xpexCVd5L._SX466_.jpg,8.97,10,true
B0FYQXRV77,Nizoral Anti Dandruff Shampoo Ketoconazole Peppermint,"Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, 14 Fl Oz, Peppermint and Tea Tree Scent, Anti Fungal Shampoo, For All Hair Types",https://m.media-amazon.com/images/I/712b8q21c3L._SX466_.jpg,27.57,10,true
B0G54D416V,Suave Moisture Sulfate Free Restored Moisture,"Suave Moisture Repair Shampoo, Sulfate-free, for restored moisture with every wash, safe for color treated hair, 12.6 oz Pack of 6",https://m.media-amazon.com/images/I/71kYT9V2jVL._SX466_.jpg,18.60,10,true
B09FYK7FKR,Olaplex Blonde Enhancertm Toning Shampoo,"Olaplex No.4P Blonde Enhancer Purple Toning Shampoo: Neutralizes Brassiness & Strengthen Repairs Damages & Hydrates Hair For Coily, Curly, Straight, and Wavy",https://m.media-amazon.com/images/I/811u2kYJObL._SX522_.jpg,34.00,10,true
B07BHCB9Y2,PURA DOR Anti Thinning Moisturizing Conditioner,"PURA D'OR Anti-Thinning Biotin Shampoo and Conditioner, Clinically Tested, Herbal Blend Thickening Products For Women & Men, Original Gold Label Set, 16oz x2",https://m.media-amazon.com/images/I/81VX9JlAZvL._SX466_.jpg,39.99,10,true
B0BYL22CPP,Ginger Lily Farms Moisturizing Cruelty Free,"Ginger Lily Farms Club & Fitness Moisturizing Shampoo for All Hair Types, 100% Vegan & Cruelty-Free, Fragrance Free, 1 Gallon (128 fl oz) Refill",https://m.media-amazon.com/images/I/414IOK5mGOL._SX466_.jpg,21.99,10,true
B07NQ69L7P,Herbal Essences Conditioner Biorenew Repairing,"Herbal Essences Argan Oil Repair Shampoo & Conditioner Set, Moisturizes & Smoothes, Paraben-Free, Color-Safe, Citrus Scent, 20.2 Fl Oz, 2-Pack",https://m.media-amazon.com/images/I/81WyWSIa8TL._SX466_.jpg,24.13,10,true
B0842YG95G,Loreal Paris Repairing Conditioner Conditoner,"L'Oreal Paris Elvive Total Repair 5 Repairing Shampoo and Conditioner for Damaged Hair, 28 Ounce (Set of 2)",https://m.media-amazon.com/images/I/71i+LGGtrML._SX466_.jpg,20.98,10,true
B07NH3RFN2,Head Shoulders Shampoo Dandruff Treatment,"Head & Shoulders Anti-Dandruff Shampoo with 1% Pyrithione Zinc, Dry Scalp Care Twin Pack, and Almond Oil for Itch and Dryness Relief, 32.1 fl oz Each",https://m.media-amazon.com/images/I/81RsH9Yrp9L._SX466_.jpg,25.55,10,true
B0DV42H38H,Cerave Hydrating Ceramides Niacinamide Hyaluronic,"CeraVe Gentle Hydrating Shampoo, With Ceramides, Niacinamide & Hyaluronic Acid For Soft Hair & Scalp, Sulfate Free & Color Safe, For All Hair Types, 12 Oz",https://m.media-amazon.com/images/I/617J7KJPFhL._SX466_.jpg,10.27,10,true
B0BJNX6R5X,Paris Hyaluron Conditioner Dehydrated Hyaluronic,"L'Oreal Paris Elvive Hyaluron Plump Shampoo and Conditioner Set for Dehydrated, Dry Hair with Hyaluronic Acid Care Complex, 1 Kit (2 Products)",https://m.media-amazon.com/images/I/718s-mOM6YL._SX466_.jpg,20.98,10,true
B07RZT8Y7R,Tresemme Smooth Silky Shampoo Pump,"TRESemme Smooth and Silky Shampoo with Pump, 39 oz",https://m.media-amazon.com/images/I/71tfqaFZapL._SX466_.jpg,36.00,10,true
B0DK5VYD9F,Dove Moisture Bio Protein Technology Hyaluronic,Dove Damage Therapy Shampoo Daily Moisture for Dry Hair with Bio-Protein Care Technology and Hyaluronic Serum 28 Fl Oz,https://m.media-amazon.com/images/I/71FnUdjOnRL._SX466_.jpg,10.17,10,true
B088SKYMF2,Nexxus Professional Level CLARIFIX BALANCER Technology,"Nexxus Clean & Pure Shampoo Detox for Professional-Level Silicon, Sulfate & Paraben Free Hair Care with Lactic Acid 33.8 oz",https://m.media-amazon.com/images/I/61LZlyeWxqL._SX466_.jpg,24.28,10,true
B0FRNFCBHH,DOVE MEN CARE Refreshing Strengthening,"DOVE MEN + CARE Shampoo 1 count Fresh + Clean for Hair Refreshing & Strengthening, with Menthol, 28 fl oz",https://m.media-amazon.com/images/I/71EANPWvn-L._SX466_.jpg,8.93,10,true
B0098QPV3I,Moroccan Oil Hydrating Shampoo Ounce,Moroccanoil Hydrating Shampoo,https://m.media-amazon.com/images/I/512rxRpMwIL._SX522_.jpg,30.00,10,true
